day,policy,cost_aud,grid_import_kwh,peak_import_kwh
1,no_battery,2.8421338353472434,11.617712338666632,5.9788301688826975
1,rule_based,-0.5667635198615626,1.0668829873786483,0.0
1,dp_rolling,-0.4620535319319535,1.874609280109611,0.0004123051704603
1,rl_q_learning,1.7772061380827462,8.965822735540968,3.657417863712236
2,no_battery,4.261156834306484,13.956566511138128,6.579185939181201
2,rule_based,1.1350739520497233,6.2832360738377755,0.0
2,dp_rolling,1.2881802081842784,6.80289998927311,0.08818593918120143
2,rl_q_learning,4.261156834306485,13.956566511138128,6.579185939181201
3,no_battery,4.981171339097369,14.238908995796622,7.132580839918288
3,rule_based,1.716739731656336,6.565578558496272,0.0
3,dp_rolling,1.617212011291227,6.143188539219729,0.0979256019915703
3,rl_q_learning,4.981171339097369,14.238908995796622,7.132580839918288
4,no_battery,3.8755178065070837,13.572300786437339,6.228120808204962
4,rule_based,0.8479685464334434,5.898970349136986,0.0
4,dp_rolling,0.8884145075232514,6.152403976428719,5.725912885012896e-05
4,rl_q_learning,2.9228025673238296,11.225777306466238,3.8815973282338616
5,no_battery,2.7803813969781888,11.622020145266644,5.765076796975081
5,rule_based,-0.0773020342622861,3.9486897079662926,0.0
5,dp_rolling,-0.04418719431278312,4.30066875417136,1.7667332110615774e-05
5,rl_q_learning,1.9399612443507483,9.433002477934533,3.57605912964297
6,no_battery,0.6124544736377164,11.15311406237912,0.0
6,rule_based,0.05196772865229898,3.4797836250787664,0.0
6,dp_rolling,0.09264941797662746,3.7876445813620183,0.0
6,rl_q_learning,0.6124544736377164,11.15311406237912,0.0
7,no_battery,0.5963836200140821,9.665465866740591,0.0
7,rule_based,0.035896875028664676,1.99213542944024,0.0
7,dp_rolling,-0.03838414508428112,1.6042899982092393,0.0
7,rl_q_learning,0.5578399528702864,8.905706093897276,0.0
