timestamp,pv_kw,load_kw,period,import_price,export_price,action_kw,soc_kwh,soc_pct,net_grid_kw,grid_import_kwh,grid_export_kwh,cost_aud,degradation_cost_aud,scenario
2026-05-08 00:00:00,0.0,0.4302654392002984,off_peak,0.18,0.06,0.0,5.0,50.0,0.4302654392002984,0.4302654392002984,0.0,0.07744777905605371,0.0,high
2026-05-08 01:00:00,0.0,0.4661732785745272,off_peak,0.18,0.06,0.0,5.0,50.0,0.4661732785745272,0.4661732785745272,0.0,0.08391119014341489,0.0,high
2026-05-08 02:00:00,0.0,0.41700156731801347,off_peak,0.18,0.06,0.0,5.0,50.0,0.41700156731801347,0.41700156731801347,0.0,0.07506028211724242,0.0,high
2026-05-08 03:00:00,0.0,0.3324587797617721,off_peak,0.18,0.06,0.0,5.0,50.0,0.3324587797617721,0.3324587797617721,0.0,0.05984258035711898,0.0,high
2026-05-08 04:00:00,0.0,0.4169983581237911,off_peak,0.18,0.06,0.0,5.0,50.0,0.4169983581237911,0.4169983581237911,0.0,0.0750597044622824,0.0,high
2026-05-08 05:00:00,0.0,0.629301926108408,off_peak,0.18,0.06,0.0,5.0,50.0,0.629301926108408,0.629301926108408,0.0,0.11327434669951343,0.0,high
2026-05-08 06:00:00,0.0,1.2597184453036276,off_peak,0.18,0.06,0.0,5.0,50.0,1.2597184453036276,1.2597184453036276,0.0,0.22674932015465296,0.0,high
2026-05-08 07:00:00,0.035521199999999996,1.9697946780784383,shoulder,0.3,0.06,2.0,2.9148558594292524,29.148558594292524,-0.0657265219215617,0.0,0.0657265219215617,-0.0039435913152937015,0.04,high
2026-05-08 08:00:00,0.7163442,1.8503705907545938,shoulder,0.3,0.06,0.8774989139876318,2.0,20.0,0.25652747676696197,0.25652747676696197,0.0,0.0769582430300886,0.017549978279752635,high
2026-05-08 09:00:00,1.7760599999999995,1.2661235016090455,shoulder,0.3,0.06,0.0,2.0,20.0,-0.509936498390954,0.0,0.509936498390954,-0.03059618990345724,0.0,high
2026-05-08 10:00:00,2.6640899999999994,0.8260487868819144,shoulder,0.3,0.06,-1.0,2.959166304662544,29.59166304662544,-0.838041213118085,0.0,0.838041213118085,-0.0502824727870851,0.02,high
2026-05-08 11:00:00,3.3330725999999995,0.5825968921135916,shoulder,0.3,0.06,-2.0,4.8774989139876315,48.77498913987632,-0.7504757078864079,0.0,0.7504757078864079,-0.045028542473184476,0.04,high
2026-05-08 12:00:00,3.6468432,0.4873722571792271,shoulder,0.3,0.06,-2.0,6.795831523312719,67.9583152331272,-1.1594709428207732,0.0,1.1594709428207732,-0.0695682565692464,0.04,high
2026-05-08 13:00:00,3.5935613999999996,0.3477842872912754,shoulder,0.3,0.06,-2.0,8.714164132637807,87.14164132637806,-1.245777112708724,0.0,1.245777112708724,-0.07474662676252344,0.04,high
2026-05-08 14:00:00,3.196908,0.4230263121850336,shoulder,0.3,0.06,-1.0,9.67333043730035,96.7333043730035,-1.7738816878149666,0.0,1.7738816878149666,-0.106432901268898,0.02,high
2026-05-08 15:00:00,2.4391223999999996,0.6581671308806321,shoulder,0.3,0.06,-0.3405765622829912,10.0,100.0,-1.4403787068363763,0.0,1.4403787068363763,-0.08642272241018258,0.006811531245659824,high
2026-05-08 16:00:00,1.4622893999999997,0.7968900303312567,peak,0.55,0.06,-0.0,10.0,100.0,-0.665399369668743,0.0,0.665399369668743,-0.03992396218012458,0.0,high
2026-05-08 17:00:00,0.4380947999999999,1.3880622695655216,peak,0.55,0.06,1.0,8.957427929714626,89.57427929714626,-0.050032530434478306,0.0,0.050032530434478306,-0.0030019518260686984,0.02,high
2026-05-08 18:00:00,0.0,1.8555390971540069,peak,0.55,0.06,2.0,6.872283789143879,68.72283789143879,-0.1444609028459931,0.0,0.1444609028459931,-0.008667654170759586,0.04,high
2026-05-08 19:00:00,0.0,2.1310965452930093,peak,0.55,0.06,2.0,4.787139648573131,47.87139648573131,0.1310965452930093,0.1310965452930093,0.0,0.07210309991115511,0.04,high
2026-05-08 20:00:00,0.0,1.7736022679243226,peak,0.55,0.06,2.0,2.7019955080023834,27.019955080023834,-0.22639773207567737,0.0,0.22639773207567737,-0.013583863924540642,0.04,high
2026-05-08 21:00:00,0.0,1.2954767382155694,shoulder,0.3,0.06,0.6733304373003514,2.0,20.0,0.622146300915218,0.622146300915218,0.0,0.1866438902745654,0.013466608746007027,high
2026-05-08 22:00:00,0.0,0.670010118593902,off_peak,0.18,0.06,0.0,2.0,20.0,0.670010118593902,0.670010118593902,0.0,0.12060182134690237,0.0,high
2026-05-08 23:00:00,0.0,0.5025889677657149,off_peak,0.18,0.06,0.0,2.0,20.0,0.5025889677657149,0.5025889677657149,0.0,0.09046601419782868,0.0,high
