scenario,policy,total_cost_aud,total_grid_import_kwh,self_consumption_pct,peak_period_import_kwh
low,no_battery,5.568332031909353,16.720221569344563,39.85186643945535,6.86258617993686
low,rule_based,1.9109992632256578,6.16939221805658,94.73528843749357,0.0
low,ai_agent,2.3260434498904443,9.387183558202922,71.80272730705623,0.5295481687952204
low,rl_q_learning,4.471908213476583,14.122951745477026,39.45620243022709,4.731489634643851
base,no_battery,5.152622091523183,16.353711067735517,31.697709182546113,6.76734817993686
base,rule_based,1.519098822839487,5.802881716447534,72.86027568107478,0.0
base,ai_agent,1.3725055239794388,6.5481641105911175,69.04767875769868,0.13820681485853092
base,rl_q_learning,4.297036292245965,13.529409724241267,34.03968137416041,4.911809082782854
high,no_battery,4.918722711523182,16.198498867735516,28.229317634875713,6.710205379936861
high,rule_based,1.2994851428394871,5.647669516447534,64.02285372055283,0.0
high,ai_agent,1.1037476544308742,6.134287203725243,61.934536729582625,0.1310965452930093
high,rl_q_learning,3.851010457691542,13.601229043867981,28.199452766494115,4.579108834643851
