timestamp,pv_kw,load_kw,period,import_price,export_price,action_kw,soc_kwh,soc_pct,net_grid_kw,grid_import_kwh,grid_export_kwh,cost_aud,degradation_cost_aud
2025-03-03 00:00:00,0.0,0.33047729795520125,off_peak,0.18,0.06,0.24,4.74978270313151,47.497827031315104,0.09047729795520126,0.09047729795520126,0.0,0.016285913631936228,0.0048
2025-03-03 01:00:00,0.0,0.19056323375970668,off_peak,0.18,0.06,0.265,4.473501104505886,44.73501104505887,-0.07443676624029333,0.0,0.07443676624029333,-0.0044662059744175996,0.0053
2025-03-03 02:00:00,0.0,0.3370788141084482,off_peak,0.18,0.06,0.265,4.197219505880263,41.972195058802626,0.07207881410844819,0.07207881410844819,0.0,0.012974186539520673,0.0053
2025-03-03 03:00:00,0.0,0.44716777283241205,off_peak,0.18,0.06,0.447,3.7311897904627003,37.311897904627,0.00016777283241203866,0.00016777283241203866,0.0,3.019910983416696e-05,0.00894
2025-03-03 04:00:00,0.0,0.22972070929886132,off_peak,0.18,0.06,0.265,3.454908191837076,34.54908191837076,-0.035279290701138694,0.0,0.035279290701138694,-0.0021167574420683215,0.0053
2025-03-03 05:00:00,0.0,0.4333307305296444,off_peak,0.18,0.06,0.479,2.955516170170382,29.55516170170382,-0.0456692694703556,0.0,0.0456692694703556,-0.002740156168221336,0.00958
2025-03-03 06:00:00,0.36962639999999997,1.1047880466402313,off_peak,0.18,0.06,0.479,2.456124148503688,24.56124148503688,0.25616164664023133,0.25616164664023133,0.0,0.04610909639524164,0.00958
2025-03-03 07:00:00,1.3884156,1.6284861212565702,shoulder,0.3,0.06,0.265,2.179842549878064,21.798425498780638,-0.024929478743429878,0.0,0.024929478743429878,-0.0014957687246057927,0.0053
2025-03-03 08:00:00,2.3238071999999996,1.6716965387269085,shoulder,0.3,0.06,-0.137,2.3112483336168324,23.112483336168324,-0.5151106612730911,0.0,0.5151106612730911,-0.030906639676385468,0.0027400000000000002
2025-03-03 09:00:00,3.2334588,1.08380977532237,shoulder,0.3,0.06,-2.0,4.22958094294192,42.29580942941921,-0.14964902467762986,0.0,0.14964902467762986,-0.008978941480657792,0.04
2025-03-03 10:00:00,4.0164696,0.7165702177574964,shoulder,0.3,0.06,-2.0,6.147913552267008,61.479135522670084,-1.2998993822425033,0.0,1.2998993822425033,-0.0779939629345502,0.04
2025-03-03 11:00:00,4.3495452,0.513297781881253,shoulder,0.3,0.06,-2.0,8.066246161592096,80.66246161592096,-1.836247418118747,0.0,1.836247418118747,-0.11017484508712481,0.04
2025-03-03 12:00:00,4.5956196,0.38292825894825994,shoulder,0.3,0.06,-0.137,8.197651945330865,81.97651945330865,-4.075691341051741,0.0,4.075691341051741,-0.24454148046310442,0.0027400000000000002
2025-03-03 13:00:00,4.5132516,0.47741898143454425,shoulder,0.3,0.06,-0.137,8.329057729069634,83.29057729069635,-3.898832618565456,0.0,3.898832618565456,-0.23392995711392733,0.0027400000000000002
